,xorg-server,"the graphical server."
,xorg-xinit,"starts the graphical server upon running the startx command."
,xorg-xrandr,"a CLI for changing screen resolution ."
,xorg-xprop,"a tool for detecting window properties."
,evince,"Document viewer (PDF, PostScript, XPS, djvu, dvi, tiff, cbr, cbz, cb7, cbt)"
,file-roller,"Create and modify archives"
,gdm,"Display manager and login screen"
,gedit,"GNOME Text Editor"
,gnome-backgrounds,"Background images and data for GNOME"
,gnome-calculator,"GNOME Scientific calculator"
,gnome-calendar,"Simple and beautiful calendar application designed to perfectly fit the GNOME desktop"
,gnome-characters,"A character map application"
,gnome-clocks,"Clocks applications for GNOME"
,gnome-color-manager,"GNOME Color Profile Tools"
,gnome-contacts,"Contacts Manager for GNOME"
,gnome-control-center,"GNOME's main interface to configure various aspects of the desktop"
,gnome-disk-utility,"Disk Management Utility for GNOME"
,gnome-font-viewer,"A font viewer utility for GNOME"
,gnome-keyring,"Stores passwords and encryption keys"
,gnome-logs,"A log viewer for the systemd journal"
,gnome-menus,"GNOME menu specifications"
,gnome-photos,"Access, organize, and share your photos on GNOME"
,gnome-screenshot,"Take pictures of your screen"
,gnome-session,"The GNOME Session Handler"
,gnome-settings-daemon,"GNOME Settings Daemon"
,gnome-software,"GNOME Software Tools"
,gnome-system-monitor,"View current processes and monitor system state"
,gnome-terminal,"The GNOME Terminal Emulator"
,gnome-user-docs,"User documentation for GNOME"
,mutter,"A window manager for GNOME"
,nautilus,"Default file manager for GNOME"
,sushi,"A quick previewer for Nautilus"
,xdg-user-dirs-gtk,"Creates user dirs and asks to relocalize them"
,yelp,"Get help with GNOME"
,networkmanager,"Network connection manager"
